Address;Price per month;Link to the property?
801 53rd St #4, Emeryville, CA 94608;2200;https://www.zillow.com/homedetails/801-53rd-St-4-Emeryville-CA-94608/2076709077_zpid/
1909 Tenth St, Berkeley, CA 94710, 1909 10th St #B, Berkeley, CA 94710;2849;https://www.zillow.com/homedetails/1909-10th-St-B-Berkeley-CA-94710/2066435632_zpid/
1 bed, $2,995, 2440 Fillmore St #4, San Francisco, CA 94115;2995;https://www.zillow.com/homedetails/2440-Fillmore-St-4-San-Francisco-CA-94115/2077578156_zpid/
1000 Franklin St APT 207, San Francisco, CA 94109;2700;https://www.zillow.com/homedetails/1000-Franklin-St-APT-207-San-Francisco-CA-94109/2077359904_zpid/
601 Stockton Street - 8, 601 Stockton St APT 8, San Francisco, CA 94108;2995;https://www.zillow.com/homedetails/601-Stockton-St-APT-8-San-Francisco-CA-94108/2069848985_zpid/
180 Montecito Ave #305, Oakland, CA 94610;2795;https://www.zillow.com/homedetails/180-Montecito-Ave-305-Oakland-CA-94610/2062619227_zpid/
4627 Shattuck Ave #B, Oakland, CA 94609;2800;https://www.zillow.com/homedetails/4627-Shattuck-Ave-B-Oakland-CA-94609/2099754943_zpid/
2 bed, $1,900, 1860 E 25th St #F, Oakland, CA 94606;1900;https://www.zillow.com/homedetails/1860-E-25th-St-F-Oakland-CA-94606/2067586655_zpid/
6230 3rd St, San Francisco, CA 94124;3000;https://www.zillow.com/homedetails/6230-3rd-St-San-Francisco-CA-94124/2115429471_zpid/
3312A Balboa St, San Francisco, CA 94121;2980;https://www.zillow.com/homedetails/3312A-Balboa-St-San-Francisco-CA-94121/2066366906_zpid/
601 Van Ness Ave, San Francisco, CA;2250;https://www.zillow.com/b/601-van-ness-ave-san-francisco-ca-5XkGN9/
2167 Otis Dr APT 112, Alameda, CA 94501;2400;https://www.zillow.com/homedetails/2167-Otis-Dr-APT-112-Alameda-CA-94501/2091884011_zpid/
2 bed, $2,250, 1734 Blake St APT L, Berkeley, CA 94703;2250;https://www.zillow.com/homedetails/1734-Blake-St-APT-L-Berkeley-CA-94703/2083388805_zpid/
